generating_institute     gfz-potsdam
     generating_date     2022/10/10
        product_type     gravity_field
                body     earth
           modelname     EGM2008
     max_used_degree          2190
            70.5800     90.0000       13.119617100188
            71.0800     90.0000       13.119617100188
            71.5800     90.0000       13.119617100188
            72.0800     90.0000       13.119617100188
            72.5800     90.0000       13.119617100188
            73.0800     90.0000       13.119617100188
            73.5800     90.0000       13.119617100188
            74.0800     90.0000       13.119617100188
            74.5800     90.0000       13.119617100188
            75.0800     90.0000       13.119617100188
            75.5800     90.0000       13.119617100188
            76.0800     90.0000       13.119617100188
            76.5800     90.0000       13.119617100188
            77.0800     90.0000       13.119617100188
            77.5800     90.0000       13.119617100188
            78.0800     90.0000       13.119617100188
            78.5800     90.0000       13.119617100188
            79.0800     90.0000       13.119617100188
            79.5800     90.0000       13.119617100188
            80.0800     90.0000       13.119617100188
            80.5800     90.0000       13.119617100188
            81.0800     90.0000       13.119617100188
            81.5800     90.0000       13.119617100188
            82.0800     90.0000       13.119617100188
            82.5800     90.0000       13.119617100188
            83.0800     90.0000       13.119617100188
            83.5800     90.0000       13.119617100188
            84.0800     90.0000       13.119617100188
            84.5800     90.0000       13.119617100188
            85.0800     90.0000       13.119617100188
            85.5800     90.0000       13.119617100188
            86.0800     90.0000       13.119617100188
            86.5800     90.0000       13.119617100188
            87.0800     90.0000       13.119617100188
            87.5800     90.0000       13.119617100188
            88.0800     90.0000       13.119617100188
            88.5800     90.0000       13.119617100188
            89.0800     90.0000       13.119617100188
            89.5800     90.0000       13.119617100188
            90.0800     90.0000       13.119617100188
            90.5800     90.0000       13.119617100188
            91.0800     90.0000       13.119617100188
            91.5800     90.0000       13.119617100188
            92.0800     90.0000       13.119617100188
            92.5800     90.0000       13.119617100188
            93.0800     90.0000       13.119617100188
            93.5800     90.0000       13.119617100188
            94.0800     90.0000       13.119617100188
            94.5800     90.0000       13.119617100188
            95.0800     90.0000       13.119617100188
            95.5800     90.0000       13.119617100188
            96.0800     90.0000       13.119617100188
            96.5800     90.0000       13.119617100188
            97.0800     90.0000       13.119617100188
            97.5800     90.0000       13.119617100188
            98.0800     90.0000       13.119617100188
            98.5800     90.0000       13.119617100188
            99.0800     90.0000       13.119617100188
            99.5800     90.0000       13.119617100188
           100.0800     90.0000       13.119617100188
           100.5800     90.0000       13.119617100188
           101.0800     90.0000       13.119617100188
           101.5800     90.0000       13.119617100188
           102.0800     90.0000       13.119617100188
           102.5800     90.0000       13.119617100188
           103.0800     90.0000       13.119617100188
           103.5800     90.0000       13.119617100188
           104.0800     90.0000       13.119617100188
           104.5800     90.0000       13.119617100188
           105.0800     90.0000       13.119617100188
           105.5800     90.0000       13.119617100188
           106.0800     90.0000       13.119617100188
           106.5800     90.0000       13.119617100188
           107.0800     90.0000       13.119617100188
           107.5800     90.0000       13.119617100188
           108.0800     90.0000       13.119617100188
           108.5800     90.0000       13.119617100188
           109.0800     90.0000       13.119617100188
           109.5800     90.0000       13.119617100188
           110.0800     90.0000       13.119617100188
           110.5800     90.0000       13.119617100188
           111.0800     90.0000       13.119617100188
           111.5800     90.0000       13.119617100188
           112.0800     90.0000       13.119617100188
           112.5800     90.0000       13.119617100188
           113.0800     90.0000       13.119617100188
